"# SYNTHETIC DATA - generated, not measured. SLOP4761."
day,temp_c,ph,kh_mg_l_caco3,ammonia_mg_l,nitrite_mg_l,nitrate_mg_l,note
1,22.6,7.06,80,0.83,0.1,0.4,"system started; 12 fish stocked, feeding 40 g/day"
2,22.3,7.08,81,1.21,0.14,1.1,
3,22.8,7.06,78,1.67,0.1,1.0,
4,22.9,7.04,77,2.07,0.21,1.1,
5,22.9,7.06,75,2.52,0.19,2.3,
6,22.9,6.99,74,2.92,0.27,2.2,
7,23.0,7.0,74,3.36,0.32,3.2,
8,22.8,6.97,74,3.78,0.36,2.5,
9,22.7,6.93,72,3.38,1.0,4.8,
10,22.9,6.93,69,2.94,1.47,5.3,
11,22.5,6.93,67,2.52,2.0,6.8,
12,22.5,6.87,65,2.13,2.59,8.8,
13,22.2,6.85,66,1.73,3.18,10.4,
14,22.5,6.85,65,1.29,3.73,11.2,
15,22.7,6.81,62,0.85,4.21,13.1,
16,22.7,6.8,62,0.44,4.81,14.2,
17,23.0,6.77,59,0.38,4.15,15.5,
18,23.0,6.72,55,0.35,3.61,17.8,
19,23.2,6.73,53,0.3,2.88,20.8,
20,23.3,6.68,52,0.28,2.33,22.9,
21,23.3,6.64,50,0.23,1.71,24.3,
22,23.1,6.6,48,0.18,1.03,26.6,
23,23.2,6.6,44,0.09,0.52,29.3,
24,22.5,6.56,44,0.03,0.07,31.1,
25,22.4,6.52,40,0.08,0.36,31.8,feed increased to 60 g/day
26,22.4,6.56,39,0.08,0.64,31.8,
27,22.8,6.46,38,0.1,0.98,32.8,
28,22.4,6.49,36,0.13,1.21,32.7,
29,22.2,6.43,33,0.1,1.51,33.3,
30,22.5,6.43,31,0.13,1.78,33.4,
31,22.6,6.42,29,0.13,2.17,34.5,
32,22.7,6.35,27,0.15,2.45,35.3,
33,22.9,6.35,25,0.18,2.73,35.1,
34,22.9,6.32,25,0.18,2.98,35.6,
35,22.9,6.29,23,0.19,3.27,36.5,
36,23.1,6.3,21,0.19,3.62,36.7,
37,22.8,6.27,19,0.23,3.85,37.7,
38,22.5,6.21,19,0.25,4.14,38.7,
39,22.6,6.25,16,0.27,4.47,38.3,
40,22.9,6.23,15,0.25,4.71,38.8,
41,22.4,6.18,13,0.28,5.05,39.1,
42,22.7,6.14,11,0.28,5.34,40.1,
43,22.8,6.16,10,0.32,5.63,40.8,
44,22.5,6.13,7,0.32,5.86,41.0,
45,22.5,6.1,8,0.32,6.12,40.8,
46,22.9,6.21,17,0.28,5.84,43.2,operator added carbonate buffer
47,22.7,6.29,20,0.28,5.4,43.8,
48,23.1,6.38,27,0.27,4.94,45.7,
49,23.0,6.45,30,0.25,4.57,48.1,
50,23.3,6.48,36,0.21,4.09,48.8,
51,22.8,6.52,40,0.23,3.66,50.2,
52,23.0,6.61,44,0.17,3.29,52.5,
53,23.0,6.65,50,0.18,2.81,53.7,
54,22.9,6.69,53,0.16,2.47,55.3,
55,22.2,6.79,59,0.09,2.05,56.4,
56,22.6,6.82,64,0.08,1.56,58.9,
57,22.3,6.92,69,0.07,1.13,60.3,
58,22.7,7.0,72,0.05,0.73,61.4,
59,22.4,7.07,75,0.06,0.37,62.9,
60,22.9,7.06,77,0.06,0.09,65.1,
