# PRACTICE CASE - invented round-number data for SLOP4761 tutorials; not a client home and not a real climate.
month,rain,eto,inflow,overflow,indoor,tank_indoor,imported,garden_gross,garden_tank,garden_mains,garden_unmet,tank_end
Jan,40.0,180.0,6.68,0.0,18.6,0.0,18.6,4.63,4.63,0.0,0.0,7.34
Feb,40.0,150.0,6.68,0.0,16.8,0.0,16.8,3.78,3.78,0.0,0.0,10.24
Mar,50.0,120.0,8.44,3.68,18.6,6.2,12.4,2.73,2.73,0.0,0.0,6.07
Apr,50.0,80.0,8.44,0.0,18.0,6.0,12.0,1.6,1.6,0.0,0.0,6.91
May,60.0,50.0,10.2,2.1,18.6,6.2,12.4,0.55,0.55,0.0,0.0,8.25
Jun,60.0,40.0,10.2,3.45,18.0,6.0,12.0,0.0,0.0,0.0,0.0,9.0
Jul,60.0,40.0,10.2,4.2,18.6,6.2,12.4,0.0,0.0,0.0,0.0,8.8
Aug,60.0,60.0,10.2,4.0,18.6,6.2,12.4,0.0,0.0,0.0,0.0,8.8
Sep,50.0,80.0,8.44,2.24,18.0,6.0,12.0,1.6,1.6,0.0,0.0,7.4
Oct,50.0,120.0,8.44,0.84,18.6,6.2,12.4,2.73,2.73,0.0,0.0,6.07
Nov,40.0,150.0,6.68,0.0,18.0,6.0,12.0,3.78,3.78,0.0,0.0,2.96
Dec,40.0,170.0,6.68,0.0,18.6,0.0,18.6,4.35,4.35,0.0,0.0,5.29
