"# SOURCED: Bureau of Meteorology, climate statistics for station 023000 (Adelaide (West Terrace / Ngayirdapira)), all years of record. ETo derived by FAO-56 Hargreaves."
month,rain_mm,tmax_c,tmin_c,eto_mm,effective_rain_mm
Jan,20.1,28.7,16.6,177,2.1
Feb,20.2,28.6,16.8,143,2.1
Mar,23.4,26.1,15.2,121,4.0
Apr,43.4,22.2,12.8,76,16.0
May,67.2,18.6,10.4,50,30.3
Jun,72.1,15.8,8.5,36,33.3
Jul,65.8,15.0,7.6,39,29.5
Aug,61.1,16.1,8.1,54,26.7
Sep,50.3,18.5,9.3,79,20.2
Oct,43.9,21.4,11.2,116,16.3
Nov,31.3,24.4,13.2,145,8.8
Dec,25.9,26.9,15.1,172,5.5
