"# SYNTHETIC CASE DATA - SLOP4761 Release B, Adelaide, April 2027 to March 2028. Generated, not measured."
month,days,rain_mm,tmax_c,tmin_c,eto_mm,roof_inflow_kl,overflow_kl,tank_end_kl,indoor_kl,toilet_kl,shower_basin_kl,laundry_kl,kitchen_kl,other_kl,indoor_from_tank_kl,bore_kl,imported_kl,garden_applied_kl,garden_from_mains_kl,garden_unmet_estimate_kl,pump_kwh,coldest_night_c,frost_nights,quality_flag
2027-04,30,20.9,22.3,12.4,77,0.6,0.0,0.0,17.8,2.61,6.53,3.33,3.56,1.78,0.0,0.0,21.2,3.9,3.4,0.0,0.4,5.2,0,
2027-05,31,69.0,18.1,10.1,49,2.0,0.0,1.3,17.9,2.62,6.55,3.33,3.57,1.79,0.0,0.0,17.9,0.6,0.0,0.0,0.4,3.9,0,
2027-06,30,103.8,16.2,7.8,38,3.0,0.0,4.3,17.1,2.51,6.27,3.19,3.42,1.71,0.0,0.0,17.1,0.0,0.0,0.0,0.0,3.0,0,
2027-07,31,65.9,15.7,9.4,37,1.9,1.2,4.9,17.7,2.59,6.48,3.3,3.53,1.77,0.0,0.0,17.7,0.1,0.0,0.0,0.1,4.4,0,
2027-08,31,31.8,16.7,7.5,58,0.9,0.7,2.5,17.9,2.62,6.55,3.33,3.57,1.79,0.0,0.0,17.9,2.5,0.0,0.0,1.7,2.5,0,
2027-09,30,48.5,18.6,9.1,80,1.4,0.0,0.8,17.6,2.59,6.47,3.29,3.53,1.76,0.0,0.0,17.6,3.1,0.0,0.0,2.2,2.9,0,
2027-10,31,40.9,19.8,10.6,106,1.1,0.0,0.0,18.6,2.73,6.82,3.47,3.72,1.86,0.0,0.0,21.4,4.7,2.8,0.0,1.4,4.2,0,garden_applied_kl: Drip-line meter read by the household on paper in October; transcription checked against the mains bill
2027-11,30,21.0,23.8,12.3,144,0.6,0.0,0.0,18.5,2.72,6.8,3.46,3.71,1.85,0.0,0.0,25.4,7.4,6.9,0.0,0.4,5.1,0,
2027-12,31,53.1,28.5,15.1,187,1.5,0.0,0.0,19.2,2.81,7.02,3.58,3.83,1.92,0.0,0.0,26.2,8.5,7.0,0.0,1.1,8.3,0,
2028-01,31,19.5,28.3,16.2,176,0.5,0.0,0.0,19.9,2.92,7.3,3.72,3.98,1.99,0.0,0.0,28.6,9.2,8.7,0.0,0.4,9.4,0,
2028-02,28,22.6,28.5,16.6,143,0.6,0.0,0.0,17.8,2.61,6.53,3.32,3.56,1.78,0.0,0.0,24.5,7.3,6.7,0.0,0.4,9.1,0,
2028-03,31,42.1,25.3,16.1,111,1.2,0.0,0.0,19.0,2.78,6.96,3.54,3.79,1.9,0.0,0.0,22.7,4.9,3.8,0.0,0.8,10.7,0,
