"# SOURCED: Bureau of Meteorology, climate statistics for station 015590 (Alice Springs Airport), all years of record. ETo derived by FAO-56 Hargreaves."
month,rain_mm,tmax_c,tmin_c,eto_mm,effective_rain_mm
Jan,41.1,36.3,21.5,222,14.7
Feb,42.5,35.1,20.7,182,15.5
Mar,31.2,32.7,17.5,174,8.7
Apr,17.2,28.3,12.6,127,0.3
May,19.0,23.1,8.3,92,1.4
Jun,13.5,19.8,5.0,72,0.0
Jul,15.3,19.7,4.0,79,0.0
Aug,9.0,22.7,6.0,104,0.0
Sep,8.7,27.3,10.3,141,0.0
Oct,20.3,31.1,14.7,184,2.2
Nov,28.1,33.7,17.9,203,6.9
Dec,37.9,35.4,20.3,221,12.7
