"# SYNTHETIC CASE DATA - SLOP4761 Release B, Alice Springs, April 2027 to March 2028. Generated, not measured."
month,days,rain_mm,tmax_c,tmin_c,eto_mm,roof_inflow_kl,overflow_kl,tank_end_kl,indoor_kl,toilet_kl,shower_basin_kl,laundry_kl,kitchen_kl,other_kl,indoor_from_tank_kl,bore_kl,imported_kl,garden_applied_kl,garden_from_mains_kl,garden_unmet_estimate_kl,pump_kwh,coldest_night_c,frost_nights,quality_flag
2027-04,30,32.2,28.2,12.0,128,2.4,0.0,0.0,17.8,2.61,6.53,3.33,3.56,1.78,7.7,8.3,10.1,3.0,0.0,7.0,20.3,7.2,0,
2027-05,31,31.5,22.5,8.0,90,2.3,0.0,0.0,17.7,2.59,6.48,3.3,3.53,1.77,8.6,8.3,9.1,2.0,0.0,4.7,21.0,1.4,0,
2027-06,30,16.6,19.7,5.1,71,1.1,0.0,0.0,16.7,2.46,6.14,3.12,3.35,1.67,7.6,8.3,9.1,1.8,0.0,4.3,19.4,-2.2,5,
2027-07,31,10.8,18.2,4.3,72,0.7,0.0,0.0,17.3,2.54,6.34,3.23,3.46,1.73,7.2,8.3,10.1,1.8,0.0,4.3,18.7,-2.4,6,
2027-08,31,14.5,21.7,5.2,101,1.0,0.0,0.0,17.7,2.59,6.48,3.3,3.53,1.77,6.7,8.3,10.9,2.6,0.0,6.0,18.6,-1.8,2,
2027-09,30,8.0,26.6,9.6,138,0.5,0.0,0.0,17.8,2.61,6.53,3.33,3.56,1.78,5.3,8.3,12.5,3.5,0.0,8.2,17.0,3.3,0,
2027-10,31,21.2,31.4,14.9,185,1.5,0.0,0.0,19.0,2.78,6.96,3.54,3.79,1.9,5.2,8.3,13.8,4.6,0.0,10.8,17.7,8.9,0,
2027-11,30,23.6,33.3,18.2,198,1.7,0.0,0.0,18.9,2.77,6.93,3.53,3.78,1.89,5.1,8.3,13.8,4.9,0.0,11.5,17.8,13.1,0,
2027-12,31,28.9,33.7,20.1,206,2.1,0.0,0.0,18.6,2.73,6.82,3.47,3.72,1.86,5.4,8.3,13.2,5.0,0.0,11.7,18.3,13.3,0,
2028-01,31,35.3,36.1,21.5,220,2.6,0.0,0.0,20.1,2.95,7.37,3.75,4.02,2.01,5.7,8.3,14.4,5.3,0.0,12.3,18.8,14.0,0,
2028-02,28,56.2,34.7,20.9,178,4.2,0.0,0.0,18.0,2.64,6.59,3.36,3.6,1.8,8.7,8.3,9.2,3.8,0.0,8.9,22.5,14.8,0,rain_mm: Rain gauge funnel blocked by a grasshopper swarm; February total taken from the Alice Springs Airport station
2028-03,31,17.8,32.7,19.2,168,1.2,0.0,0.0,19.3,2.84,7.09,3.61,3.87,1.93,5.3,8.3,14.0,4.3,0.0,9.9,17.6,13.0,0,
