"# SYNTHETIC CASE DATA - SLOP4761 Release B, Brisbane, April 2027 to March 2028. Generated, not measured."
rank,month,fixtures,peak_lpm,duration_min
1,2027-06,toilet cistern refill (ground) + washing machine fill + kitchen tap,22.1,2
2,2027-04,toilet cistern refill (first floor) + shower (first floor) + toilet cistern refill (ground),20.7,3
3,2027-08,basin + washing machine fill,14.1,6
4,2027-06,kitchen tap + shower (first floor),13.8,6
5,2027-07,toilet cistern refill (first floor) + toilet cistern refill (ground),12.7,8
6,2028-02,kitchen tap + toilet cistern refill (ground),12.5,4
7,2027-04,toilet cistern refill (first floor) + toilet cistern refill (ground),12.3,3
8,2027-07,basin + toilet cistern refill (ground),11.1,5
9,2028-02,toilet cistern refill (ground) + basin,11.0,4
10,2027-12,kitchen tap + basin,10.3,5
