"# SYNTHETIC CASE DATA - SLOP4761 Release B, Brisbane, April 2027 to March 2028. Generated, not measured."
month,days,rain_mm,tmax_c,tmin_c,eto_mm,roof_inflow_kl,overflow_kl,tank_end_kl,indoor_kl,toilet_kl,shower_basin_kl,laundry_kl,kitchen_kl,other_kl,indoor_from_tank_kl,bore_kl,imported_kl,garden_applied_kl,garden_from_mains_kl,garden_unmet_estimate_kl,pump_kwh,coldest_night_c,frost_nights,quality_flag
2027-04,30,80.0,25.5,16.6,92,4.4,4.2,2.4,18.0,2.64,6.6,3.36,3.6,1.8,0.0,0.0,18.0,0.6,0.0,0.0,0.0,10.8,0,indoor_kl: Sub-meters were installed on 18 April; April's end-use split is scaled from May
2027-05,31,34.2,21.9,13.4,68,1.8,1.2,2.2,18.2,2.67,6.68,3.4,3.65,1.82,0.0,0.0,18.2,0.8,0.0,0.0,0.0,7.2,0,
2027-06,30,95.6,20.6,11.3,58,5.3,4.6,3.0,17.5,2.56,6.4,3.26,3.49,1.75,0.0,0.0,17.5,0.0,0.0,0.0,0.0,4.4,0,
2027-07,31,57.4,21.1,10.8,66,3.1,3.1,2.5,18.0,2.65,6.62,3.37,3.61,1.8,0.0,0.0,18.0,0.5,0.0,0.0,0.0,4.3,0,
2027-08,31,66.3,20.9,10.6,80,3.7,3.1,2.4,18.0,2.65,6.62,3.37,3.61,1.8,0.0,0.0,18.0,0.6,0.0,0.0,0.0,4.4,0,
2027-09,30,27.8,23.9,13.4,107,1.5,0.9,1.7,17.8,2.61,6.53,3.33,3.56,1.78,0.0,0.0,17.8,1.3,0.0,0.0,0.0,6.4,0,
2027-10,31,62.6,26.4,15.1,143,3.4,2.1,1.5,18.6,2.73,6.82,3.47,3.72,1.86,0.0,0.0,18.6,1.5,0.0,0.0,0.0,8.9,0,
2027-11,30,126.0,27.4,19.0,140,7.0,5.5,2.3,18.4,2.69,6.73,3.43,3.67,1.84,0.0,0.0,18.4,0.7,0.0,0.0,0.0,14.3,0,
2027-12,31,137.1,29.4,20.5,161,7.7,7.0,2.2,18.6,2.73,6.82,3.47,3.72,1.86,0.0,0.0,18.6,0.8,0.0,0.0,0.0,14.1,0,
2028-01,31,91.9,30.0,20.3,167,5.1,4.3,1.5,19.3,2.84,7.09,3.61,3.87,1.93,0.0,0.0,19.3,1.5,0.0,0.0,0.0,15.3,0,
2028-02,28,80.0,29.3,20.2,134,4.4,2.9,1.8,17.5,2.56,6.41,3.26,3.49,1.75,0.0,0.0,17.5,1.2,0.0,0.0,0.0,13.9,0,
2028-03,31,290.6,28.9,18.5,136,16.4,15.2,3.0,19.0,2.78,6.96,3.54,3.79,1.9,0.0,0.0,19.0,0.0,0.0,0.0,0.0,12.8,0,
