"# SYNTHETIC CASE DATA - SLOP4761 Release B, Canberra, April 2027 to March 2028. Generated, not measured."
month,days,rain_mm,tmax_c,tmin_c,eto_mm,roof_inflow_kl,overflow_kl,tank_end_kl,indoor_kl,toilet_kl,shower_basin_kl,laundry_kl,kitchen_kl,other_kl,indoor_from_tank_kl,bore_kl,imported_kl,garden_applied_kl,garden_from_mains_kl,garden_unmet_estimate_kl,pump_kwh,coldest_night_c,frost_nights,quality_flag
2027-04,30,24.8,21.5,6.0,86,0.8,0.0,0.0,17.8,2.61,6.53,3.33,3.56,1.78,0.0,0.0,21.2,4.1,3.3,0.0,0.0,0.9,1,
2027-05,31,37.4,15.2,2.8,51,1.2,0.0,1.2,18.0,2.65,6.62,3.37,3.61,1.8,0.0,0.0,18.0,0.0,0.0,0.0,0.0,-3.7,8,
2027-06,30,28.4,12.8,2.6,36,0.9,0.0,2.1,17.1,2.51,6.27,3.19,3.42,1.71,0.0,0.0,17.1,0.0,0.0,0.0,0.0,-3.8,12,
2027-07,31,9.8,10.6,-0.3,37,0.3,0.0,2.3,17.7,2.59,6.48,3.3,3.53,1.77,0.0,0.0,17.7,0.0,0.0,0.0,0.0,-6.2,19,tank_end_kl: Tank level logger failed from 9 to 26 July; levels interpolated from two manual dips
2027-08,31,53.0,12.7,1.6,52,1.7,0.0,4.0,17.9,2.62,6.55,3.33,3.57,1.79,0.0,0.0,17.9,0.0,0.0,0.0,0.0,-5.4,12,
2027-09,30,69.3,15.5,3.5,78,2.2,1.2,5.0,17.6,2.59,6.47,3.29,3.53,1.76,0.0,0.0,17.6,0.0,0.0,0.0,0.0,-1.8,5,
2027-10,31,57.7,20.0,8.4,116,1.9,1.9,0.6,18.6,2.73,6.82,3.47,3.72,1.86,0.0,0.0,18.6,4.4,0.0,0.0,0.0,1.7,1,
2027-11,30,51.1,22.8,8.8,149,1.6,0.0,0.0,18.5,2.72,6.8,3.46,3.71,1.85,0.0,0.0,22.7,6.3,4.1,0.0,0.0,2.3,0,
2027-12,31,68.5,26.5,12.3,181,2.2,0.0,0.0,19.3,2.84,7.09,3.61,3.87,1.93,0.0,0.0,24.5,7.4,5.1,0.0,0.0,5.3,0,
2028-01,31,92.4,27.6,12.8,184,3.0,0.0,0.0,19.7,2.89,7.23,3.68,3.94,1.97,0.0,0.0,23.2,6.5,3.5,0.0,0.0,5.9,0,
2028-02,28,47.3,27.5,12.8,149,1.5,0.0,0.0,17.6,2.59,6.47,3.29,3.53,1.76,0.0,0.0,22.6,6.5,5.0,0.0,0.0,6.0,0,
2028-03,31,86.9,24.0,10.2,123,2.8,0.0,0.0,19.0,2.78,6.96,3.54,3.79,1.9,0.0,0.0,19.7,3.6,0.8,0.0,0.0,3.7,0,
