"# SYNTHETIC CASE DATA - SLOP4761 Release B, Darwin, April 2027 to March 2028. Generated, not measured."
rank,month,fixtures,peak_lpm,duration_min
1,2028-01,kitchen tap + basin + washing machine fill,23.5,3
2,2027-05,washing machine fill + kitchen tap,18.9,2
3,2027-04,kitchen tap + basin + toilet cistern refill,17.7,4
4,2028-03,toilet cistern refill + washing machine fill,17.5,2
5,2027-12,shower + kitchen tap,16.3,4
6,2027-06,toilet cistern refill + shower,15.6,5
7,2027-05,toilet cistern refill + ensuite shower,15.1,5
8,2027-10,shower + toilet cistern refill,14.8,5
9,2028-02,toilet cistern refill + ensuite shower,14.4,4
10,2027-07,basin + ensuite shower,12.9,2
