"# SYNTHETIC CASE DATA - SLOP4761 Release B, Darwin, April 2027 to March 2028. Generated, not measured."
month,days,rain_mm,tmax_c,tmin_c,eto_mm,roof_inflow_kl,overflow_kl,tank_end_kl,indoor_kl,toilet_kl,shower_basin_kl,laundry_kl,kitchen_kl,other_kl,indoor_from_tank_kl,bore_kl,imported_kl,garden_applied_kl,garden_from_mains_kl,garden_unmet_estimate_kl,pump_kwh,coldest_night_c,frost_nights,quality_flag
2027-04,30,90.2,33.5,23.3,141,8.8,0.0,7.7,17.8,2.61,6.53,3.33,3.56,1.78,17.8,0.0,0.0,9.7,0.0,0.0,33.5,17.2,0,
2027-05,31,5.4,32.6,22.4,126,0.3,0.0,0.0,18.0,2.65,6.62,3.37,3.61,1.8,8.0,0.0,10.0,0.0,0.0,14.3,12.1,17.1,0,
2027-06,30,2.6,31.4,20.1,115,0.1,0.0,0.0,17.3,2.53,6.34,3.23,3.46,1.73,0.1,0.0,17.2,0.0,0.0,13.0,0.1,15.5,0,
2027-07,31,1.9,30.8,20.7,116,0.0,0.0,0.0,17.9,2.62,6.55,3.33,3.57,1.79,0.0,0.0,17.9,0.0,0.0,13.1,0.0,13.3,0,
2027-08,31,8.4,30.4,20.8,125,0.6,0.0,0.0,18.2,2.67,6.68,3.4,3.65,1.82,0.6,0.0,17.6,0.0,0.0,14.2,1.0,13.8,0,
2027-09,30,21.8,34.0,23.8,151,2.0,0.0,0.0,18.0,2.64,6.6,3.36,3.6,1.8,2.0,0.0,16.0,0.0,0.0,16.7,2.9,19.2,0,
2027-10,31,74.2,33.2,25.4,148,7.2,0.0,0.0,19.5,2.86,7.16,3.65,3.91,1.95,7.2,0.0,12.3,0.0,0.0,12.2,10.8,19.6,0,
2027-11,30,202.3,33.7,24.8,157,19.9,0.0,0.8,19.1,2.8,7.0,3.56,3.82,1.91,19.1,0.0,0.0,0.0,0.0,0.0,28.6,18.9,0,
2027-12,31,197.8,32.8,24.9,153,19.5,0.0,1.7,18.6,2.73,6.82,3.47,3.72,1.86,18.6,0.0,0.0,0.0,0.0,0.0,27.9,18.4,0,
2028-01,31,448.1,30.5,25.0,125,44.4,1.1,26.0,19.0,2.78,6.96,3.54,3.79,1.9,19.0,0.0,0.0,0.0,0.0,0.0,28.5,19.1,0,
2028-02,28,536.6,31.0,24.4,122,53.2,34.2,28.0,17.0,2.49,6.22,3.17,3.39,1.7,17.0,0.0,0.0,0.0,0.0,0.0,25.5,19.4,0,"tank_end_kl: Logger in tank 1 flooded in February; tank 2's record used for both, which assumes they sit at the same level"
2028-03,31,157.6,31.4,24.7,130,15.5,0.0,23.7,18.6,2.73,6.82,3.47,3.72,1.86,18.6,0.0,0.0,1.2,0.0,0.0,28.8,18.2,0,
